"site_id_with_pcr","week_end","site_id","mean_pcr_target_flowpop_lin","all_pcr_target_flowpop_lin","wval_site_wk","all_sample_collect_dates","days_since_first_sample","baseline_avg_conc_ln","last_baseline_ln","last_std_ln","std_avg_conc_ln","pcr_target_below_lod","pcr_target","all_ww_index_ln_lin","source","county_names","wval_site_wk_level"
"15001-003-01-00-00_fluav",2023-11-25,"15001-003-01-00-00",1518622.24507708,"261230.21715127, 2776014.27300289",13.8297620402164,"2023-11-22, 2023-11-20",0,14.8365267421673,12.4731573555711,0.719848905044754,NA,"yes","fluav","1, 26.6595240804328","CDC_VERILY",15001,"High"
"15001-003-01-00-00_fluav",2023-12-02,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2023-11-29, 2023-11-27",7,12.4731573555711,12.4731573555711,0.719848905044754,1.36449195154583,"yes","fluav","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_fluav",2023-12-09,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2023-12-06, 2023-12-04",14,12.4731573555711,12.4731573555711,0.719848905044754,1.05693092087421,"yes","fluav","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_fluav",2023-12-16,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2023-12-13, 2023-12-11",21,12.4731573555711,12.4731573555711,0.719848905044754,0.89326966473097,"yes","fluav","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_fluav",2023-12-23,"15001-003-01-00-00",852691.69389262,"949093.27111793, 756290.11666731",5.1905913057809,"2023-12-20, 2023-12-18",28,12.4731573555711,12.4731573555711,0.719848905044754,0.822425526427237,"no","fluav","6.00257533240336, 4.37860727915843","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_fluav",2023-12-30,"15001-003-01-00-00",1302360.49354298,"1038721.93603246, 1565999.0510535",9.41981953665573,"2023-12-27, 2023-12-26",36,12.4731573555711,12.4731573555711,0.719848905044754,0.879631475286834,"no","fluav","6.80424852255976, 12.0353905507517","CDC_VERILY",15001,"Moderate"
"15001-003-01-00-00_fluav",2024-01-06,"15001-003-01-00-00",1210764.20143703,"1362388.68530537, 1059139.71756869",8.45442337505759,"2024-01-03, 2024-01-02",43,12.4731573555711,12.4731573555711,0.719848905044754,0.857161877378637,"no","fluav","9.91808935346518, 6.99075739665001","CDC_VERILY",15001,"Moderate"
"15001-003-01-00-00_fluav",2024-01-13,"15001-003-01-00-00",612043.625824308,"261230.21715127, 962857.034497348",3.56192147113048,"2024-01-10, 2024-01-08",49,12.4731573555711,12.4731573555711,0.719848905044754,0.840395045577673,"yes","fluav","1, 6.12384294226095","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_fluav",2024-01-20,"15001-003-01-00-00",1325822.94127701,"2390415.66540276, 261230.21715127",11.3292289117117,"2024-01-17, 2024-01-16",57,12.4731573555711,12.4731573555711,0.719848905044754,0.831543357510869,"no","fluav","21.6584578234234, 1","CDC_VERILY",15001,"High"
"15001-003-01-00-00_fluav",2024-01-27,"15001-003-01-00-00",1322576.26795088,"2055110.10954464, 590042.426357122",10.3291354018693,"2024-01-24, 2024-01-22",63,12.4731573555711,12.4731573555711,0.719848905044754,0.85539084686902,"no","fluav","17.5567468225573, 3.10152398118139","CDC_VERILY",15001,"Moderate"
"15001-003-01-00-00_fluav",2024-02-03,"15001-003-01-00-00",817494.260395712,"1373758.30364016, 261230.21715127",5.5166291007995,"2024-01-31, 2024-01-29",70,12.4731573555711,12.4731573555711,0.719848905044754,0.87725422185314,"no","fluav","10.033258201599, 1","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_fluav",2024-02-10,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-02-07, 2024-02-05",77,12.4731573555711,12.4731573555711,0.719848905044754,0.873060859217161,"yes","fluav","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_fluav",2024-02-17,"15001-003-01-00-00",617692.731332728,"547515.659877997, 687869.802787458",3.31679939700468,"2024-02-14, 2024-02-12",84,12.4731573555711,12.4731573555711,0.719848905044754,0.852760096492128,"no","fluav","2.79540838233554, 3.83819041167382","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_fluav",2024-02-24,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-02-21, 2024-02-20",92,12.4731573555711,12.4731573555711,0.719848905044754,0.833589345632224,"yes","fluav","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_fluav",2024-03-02,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-02-28, 2024-02-26",98,12.4731573555711,12.4731573555711,0.719848905044754,0.827246987907196,"yes","fluav","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_fluav",2024-03-09,"15001-003-01-00-00",4771320.33664824,"4771320.33664824",56.5732430894839,"2024-03-04",105,12.4731573555711,12.4731573555711,0.719848905044754,0.90187841956718,"no","fluav","56.5732430894839","CDC_VERILY",15001,"Very High"
"15001-003-01-00-00_fluav",2024-03-16,"15001-003-01-00-00",743078.260186968,"1224926.30322267, 261230.21715127",4.77789671134041,"2024-03-13, 2024-03-11",112,12.4731573555711,12.4731573555711,0.719848905044754,0.89736841396665,"no","fluav","8.55579342268082, 1","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_fluav",2024-03-23,"15001-003-01-00-00",513619.090497173,"766007.963843076, 261230.21715127",2.7284803538209,"2024-03-20, 2024-03-18",119,12.4731573555711,12.4731573555711,0.719848905044754,0.890344409006492,"no","fluav","4.4569607076418, 1","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_fluav",2024-03-30,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-03-27, 2024-03-25",126,12.4731573555711,12.4731573555711,0.719848905044754,0.875299117829478,"yes","fluav","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_fluav",2024-04-06,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-04-03, 2024-04-02",134,12.4731573555711,12.4731573555711,0.719848905044754,0.867132429132808,"yes","fluav","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_fluav",2024-04-13,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-04-10, 2024-04-08",140,12.4731573555711,12.4731573555711,0.719848905044754,0.858236144091222,"yes","fluav","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_fluav",2024-04-20,"15001-003-01-00-00",740578.298543411,"1219926.37993555, 261230.21715127",4.75365870190496,"2024-04-16, 2024-04-15",147,12.4731573555711,12.4731573555711,0.719848905044754,0.848890280980142,"no","fluav","8.50731740380992, 1","CDC_VERILY",15001,"Low"
